ACCx,, ACCy, ACCz, GYRx, GYRy, GYRz, Temp(*C), Pressure(Pa), Altitude(m), Sealevel Pressure(Pa),
140,124.0011337,-45,-156,2665,3440,280,27.3,99894,119.4875569,99895,
246,215.5002834,179,-185,1522,-2267,214,27.3,99897,119.3191257,99898,
62,100.3750709,-37,-240,2279,-1840,-1659,27.3,99894,119.7402088,99900,
90,92.59376771,81,-180,1486,-3553,696,27.3,99894,119.066484,99895,
117,110.8984419,-21,-209,1611,-988,250,27.3,99897,119.2349111,99898,
122,119.2246105,141,-207,-774,1718,1693,27.3,99900,119.2349111,99900,
148,140.8061526,124,-147,-3137,1720,-1265,27.3,99897,119.7402088,99897,
68,86.20153816,112,-191,156,-2288,-813,27.3,99898,119.066484,99898,
55,62.80038454,105,-84,4636,-1806,-1969,27.3,99895,119.7402088,99894,
149,127.4500961,66,-170,-1612,2483,601,27.3,99900,119.5717735,99901,
153,146.612524,-277,-72,-3702,-4336,-1317,27.3,99894,118.9822715,99903,
99,110.903131,68,-231,465,144,26,27.3,99904,119.2349111,99898,
171,155.9757828,63,-207,-742,-293,-954,27.3,99909,118.729638,99900,
114,124.4939457,58,-213,-295,-42,-862,27.3,99907,119.066484,99895,
102,107.6234864,79,-257,-921,-120,-1388,27.3,99903,119.8244274,99897,
140,131.9058716,227,-70,-94,157,450,27.3,99898,119.7402088,99900,
190,175.4764679,63,-282,-1633,1484,-158,27.3,99901,119.4875569,99898,
186,183.369117,150,-37,-211,-62,-1235,27.3,99897,119.3191257,99901,
154,161.3422792,32,-224,-196,344,333,27.3,99895,119.4875569,99903,
67,90.58556981,-175,-272,3471,1091,-147,27.3,99900,119.3191257,99900,
110,105.1463925,-330,-253,12120,3181,596,27.3,99898,119.3191257,99904,
197,174.0365981,125,-236,2817,-5781,816,27.3,99894,119.8244274,99900,
135,144.7591495,51,-140,-1074,-59,-210,27.3,99894,119.4875569,99896,
127,131.4397874,193,-254,731,19,431,27.3,99891,120.1613089,99896,
206,187.3599468,116,-284,2094,-2366,487,27.3,99898,120.0770875,99904,
89,113.5899867,-23,-186,17,-171,-18,27.3,99900,119.4875569,99903,
-42,-3.102503322,-225,-262,1417,1252,-1176,27.3,99894,119.2349111,99897,
135,100.4743742,-161,-173,-1067,-1906,-485,27.3,99903,119.066484,99901,
170,152.6185935,-128,-142,2088,3143,1402,27.3,99898,119.2349111,99898,
182,174.6546484,-123,-152,98,51,54,27.3,99896,119.6559908,99903,
188,184.6636621,-11,-192,-26,41,-512,27.3,99901,119.2349111,99897,
130,143.6659155,111,-146,-2546,1260,198,27.3,99901,119.066484,99898,
140,140.9164789,-9,-262,-1546,2107,-374,27.3,99903,119.4875569,99904,
140,140.2291197,85,-156,-1288,137,-249,27.3,99898,119.8244274,99887,
158,153.5572799,210,-134,-1774,878,-501,27.3,99894,119.8244274,99898,
97,111.13932,-30,-78,308,-202,231,27.3,99900,119.5717735,99897,
217,190.53483,16,-131,-304,595,509,27.3,99894,119.4875569,99893,
138,151.1337075,66,-129,2722,-1435,912,27.3,99900,119.4875569,99900,
182,174.2834269,19,-180,143,252,-248,27.3,99903,119.3191257,99903,
184,181.5708567,11,-179,91,-282,-18,27.3,99891,118.5612191,99904,
197,193.1427142,-182,-129,655,688,-94,27.3,99897,119.4875569,99893,
95,119.5356785,-62,-196,2515,982,-1208,27.3,99901,118.8138485,99893,
141,135.6339196,-186,-135,3686,2163,-608,27.3,99891,119.066484,99901,
109,115.6584799,-132,-132,-1131,-261,7,27.3,99900,119.7402088,99895,
175,160.16462,-150,-186,1116,1807,179,27.3,99903,119.3191257,99903,
154,155.541155,-117,-172,-141,122,-148,27.3,99901,119.3191257,99906,
148,149.8852887,-10,-195,-343,203,-96,27.3,99898,119.4875569,99901,
170,164.9713222,59,-185,28,29,-147,27.3,99898,118.9822715,99895,
209,197.9928305,95,-222,-1288,950,-142,27.3,99904,119.5717735,99904,
171,177.7482076,96,-180,1059,-1589,545,27.3,99907,118.9822715,99895,
223,211.6870519,114,-232,-1606,1111,-946,27.3,99894,119.7402088,99900,
195,199.171763,82,-160,352,354,-1783,27.3,99897,119.2349111,99891,
164,172.7929407,75,-190,-600,594,1345,27.3,99893,119.7402088,99898,
268,244.1982352,141,-111,-824,1337,-173,27.3,99900,119.3191257,99893,
13,70.7995588,289,-86,1175,155,379,27.3,99894,119.4875569,99891,
118,106.1998897,99,-178,-2039,1819,-702,27.3,99901,119.5717735,99897,
167,151.7999724,118,-122,120,-994,-1339,27.3,99895,119.066484,99895,
137,140.6999931,163,-92,-1200,399,-829,27.3,99904,119.066484,99898,
